tanggal,Trading,Investing,IHSG
2023-05-16,5234864024.127585,2876289176.7675543,1457769304.8282738
2023-05-17,5223761779.31542,2870731342.120957,1454832572.4051664
2023-05-19,5264151568.318435,2876158728.8804116,1463008855.0956826
2023-05-22,5338955461.6822195,2915541754.4068375,1469359514.9729667
2023-05-23,5352586963.130431,2920240282.653497,1470896006.2124143
2023-05-24,5360559371.4643135,2905781549.3805428,1472887303.9761114
2023-05-25,5262323805.999242,2877974056.8987255,1463810150.4159496
2023-05-26,5265076223.232444,2863789801.054858,1460048134.986697
2023-05-29,5260163876.550518,2873516364.291936,1458760156.1729467
2023-05-30,5227564193.305275,2839390208.541652,1449004844.0800257
2023-05-31,5185522609.056586,2812395321.844825,1448314531.7864215
2023-06-05,5254342863.407342,2878775670.026451,1448352912.0838265
2023-06-06,5271065809.293232,2862704787.7516723,1445183872.2494814
2023-06-07,5282957620.554983,2862687218.0346465,1445365538.990532
2023-06-08,5294484671.186824,2861681861.182566,1455534825.2357411
2023-06-09,5304514179.079212,2880218758.42972,1461581534.4799647
2023-06-12,5312493020.1845,2878262648.338993,1467771316.9439595
2023-06-13,5318274192.136868,2854804735.6878076,1467037933.4277117
2023-06-14,5334105805.049692,2861226274.7323036,1462824523.0562012
2023-06-15,5349735025.890168,2878423661.175902,1465898358.4305944
2023-06-16,5317839651.085207,2854449023.5740137,1462569080.8545833
2023-06-19,5326818743.990915,2867686829.669769,1459842480.5597684
2023-06-20,5286414209.083236,2837841219.0354295,1454252070.4069154
2023-06-21,5340691461.558163,2874091301.014933,1463459503.7543797
2023-06-22,5260474035.440785,2835994098.3719516,1452463015.4881554
2023-06-23,5259625510.684281,2840325500.043066,1449727566.4025497
2023-06-26,5297807511.228668,2863637452.7541485,1455171918.201389
2023-06-27,5310911924.95934,2873341614.811844,1454562950.815896
2023-07-03,5345088348.854265,2903447062.8148026,1462169286.0899477
2023-07-04,5321960485.747408,2871654434.162858,1458902483.109157
2023-07-05,5337023288.368292,2877779331.0723524,1467029830.920482
2023-07-06,5339640840.200676,2874248636.332928,1475404091.9784455
2023-07-07,5315056411.625085,2861132080.551545,1466480033.1601548
2023-07-10,5310843870.053029,2859223649.061038,1469663252.3821523
2023-07-11,5370533818.872245,2882267527.9916716,1484048827.5211775
2023-07-12,5370149667.097857,2887697120.1019464,1486512842.6145797
2023-07-13,5398335250.133089,2886277325.497243,1486950378.004997
2023-07-14,5415563716.61693,2894423529.7948623,1499910871.3789861
2023-07-17,5389956220.782744,2877639918.816762,1499380796.827048
2023-07-18,5386783813.141296,2859688818.5114083,1491315070.7154458
2023-07-20,5415695033.690897,2870613002.487767,1498735581.3828948
2023-07-21,5414220129.352013,2869734821.1476007,1502362839.3234808
2023-07-24,5448307600.248865,2878019510.0202017,1506422728.5053713
2023-07-25,5434568997.795164,2861390106.4264665,1510421635.6591628
2023-07-26,5499794384.508467,2865481475.7273474,1517095862.7659585
2023-07-27,5495508963.249107,2838772522.822749,1505826021.4926605
2023-07-28,5531430037.555057,2855399550.947895,1506604821.6941707
2023-07-31,5553730053.676806,2877337323.9969854,1513401545.9168508
2023-08-01,5482432399.408839,2856481550.5262594,1503606147.735529
2023-08-02,5471140693.39727,2870687447.8436785,1496622212.9510622
2023-08-03,5507676087.271109,2887514423.0572658,1506134769.6628964
2023-08-04,5501503401.298806,2876918434.051506,1496258026.5734634
2023-08-07,5549112258.67206,2892754730.6740966,1503577788.9602242
2023-08-08,5531241949.385552,2886709113.586199,1499745196.4285212
2023-08-09,5555207619.820418,2907970231.304184,1501120490.4188678
2023-08-10,5582947977.5517645,2881822896.1897464,1505086454.4840531
2023-08-11,5531617342.904462,2876807663.1498203,1502183198.2092378
2023-08-14,5554413017.193847,2906041809.4290614,1508775547.3482363
2023-08-15,5511222363.067171,2884362675.3782215,1509851794.8546355
2023-08-16,5502647117.681618,2886690542.5655665,1506672093.8265667
