tanggal,Trading,Investing,IHSG
2023-04-11,1569351786.3578472,1284367445.6420693,1034170258.5727568
2023-04-12,1589017984.3553443,1297062773.7788727,1032295127.9074423
2023-04-13,1593294967.1809568,1292627922.068347,1030265793.6370256
2023-04-14,1593464380.526877,1288388193.78944,1035272591.9401928
2023-04-17,1584555851.5040922,1283001288.380377,1030567009.6214154
2023-04-18,1608614165.2262745,1304878198.817746,1035763448.7043191
2023-04-26,1640445287.0137813,1343917746.6172502,1049176196.8942802
2023-04-27,1644075639.9278543,1334221010.2424366,1054540406.5340813
2023-04-28,1695465651.321935,1385322644.1475608,1050021721.9501419
2023-05-02,1650564517.5696077,1346599196.6999834,1042063629.7452824
2023-05-03,1597009236.6112444,1332454297.16838,1034384067.802139
2023-05-04,1574460831.2095575,1320495968.7547174,1039137097.3840249
2023-05-05,1576283531.124859,1315341468.7995687,1030574423.2562761
2023-05-08,1585583190.1850052,1316431537.5589967,1027841460.9012312
2023-05-09,1587488769.091124,1322385623.1739192,1029412780.8099545
2023-05-10,1587302191.0441117,1323016602.3085349,1034259963.5545712
2023-05-11,1574810476.097961,1311381014.8955083,1025762455.2772478
2023-05-12,1573529780.075183,1306211768.5619745,1018448014.8509934
2023-05-15,1579080720.6312962,1308355446.0980673,1019051855.4103967
2023-05-16,1573968517.2884183,1297235481.186177,1013710998.7204068
2023-05-17,1570630500.1737585,1294728921.6823947,1011668838.861681
2023-05-19,1582774460.3791392,1297176667.968644,1017354503.7090416
2023-05-22,1605265699.427706,1314938809.072798,1021770657.7228577
2023-05-23,1609364337.4665766,1317057913.3397686,1022839110.7789804
2023-05-24,1611761394.066999,1310536863.2231436,1024223829.4982601
2023-05-25,1582224837.1280136,1297995405.240142,1017911712.5051711
2023-05-26,1583052510.4787176,1291598196.6403298,1015295663.1718793
2023-05-29,1581575552.1104374,1295984990.32744,1014400021.9443593
2023-05-30,1571773778.3736773,1280593735.5552132,1007616323.6377817
2023-05-31,1559133131.0869074,1268418757.3067324,1007136290.780552
2023-06-05,1579825203.3163648,1298356974.6992111,1007162979.8660505
2023-06-06,1584853377.2573562,1291108942.2223327,1004959276.9037104
2023-06-07,1588428945.8338604,1291101003.6199534,1005085605.2417365
2023-06-08,1591894690.625917,1290647565.7764187,1012157174.9899546
2023-06-09,1594910236.7985656,1299007847.5873504,1016361966.2738924
