tanggal,Inv_No_Buffer,Inv_Buffer_8,Inv_Buffer_10,Hyb_No_Buffer,Hyb_Buffer_8,IHSG
2025-01-20,1238768993.4446142,1441982303.5050364,1305571180.8721836,1138104204.6129918,1099234006.1111133,1088741876.5096016
2025-01-21,1241127534.7514877,1446446972.1328924,1323203540.1561491,1131174092.6798253,1094833718.4472852,1090424623.350281
2025-01-22,1258138736.7036498,1467430146.472356,1344197231.8686168,1159157890.6462612,1116167794.1940782,1101858746.5322723
2025-01-23,1258807815.8664494,1460727996.8798375,1326857218.3510878,1144665476.995586,1097312354.6010294,1098141179.3313792
2025-01-24,1242618102.735839,1442857535.9502308,1320600725.3254004,1132048966.755113,1082025486.844993,1088031205.4718556
2025-01-30,1228209034.4175,1419387334.3355937,1313792201.3037653,1110562083.7222316,1075798123.2464015,1073974953.7759867
2025-01-31,1236851003.127265,1430211182.2740216,1321388931.209877,1124202454.5423088,1097776749.6387749,1079398027.6765819
2025-02-03,1222105331.5911653,1416800553.5534885,1304514020.4454935,1117073614.1208751,1096469081.4125156,1067382453.1124665
2025-02-04,1229319181.8928227,1415309664.3927865,1293971379.9712284,1110294023.4149497,1088931796.0869198,1073972062.458391
2025-02-05,1208569704.3924184,1396032353.040871,1269992291.783639,1089216635.0035625,1068259093.8029377,1066497265.1101
2025-02-06,1165372069.8383026,1338231265.9115052,1222674864.223849,1055983059.5416358,1035657339.5959511,1043921190.0959771
2025-02-07,1179468878.6895976,1358142996.9641807,1243023607.3052561,1074538781.48521,1053847213.6563927,1023733714.0976199
2025-02-10,1145008158.6908023,1318200696.19928,1215928318.4257598,1054008096.0901381,1033703924.5974455,1009395670.140696
2025-02-11,1136995216.6942582,1307971305.6246555,1210437563.640447,1055970753.3318813,1035625052.6116191,991760189.6704344
2025-02-12,1170931581.643605,1336471516.5314822,1230482912.6579475,1071764441.0430343,1051132226.9587889,1009036701.9407414
2025-02-13,1157734589.8998861,1328193841.278399,1230321416.2494168,1066329912.2272748,1045795264.5568677,1004146223.5685384
2025-02-14,1173044265.737207,1343563798.9046373,1255195960.026521,1076748071.635905,1056025735.0833929,1007925472.2114725
2025-02-17,1205099511.545431,1383078576.464582,1279553196.780274,1095200080.3659265,1074123766.1514897,1037141272.7431785
2025-02-18,1226497295.7144768,1398348735.99706,1293678536.184908,1112604358.899619,1091196048.2575097,1043620270.6569816
2025-02-19,1205714714.5435886,1374875237.0787172,1271255934.0750191,1096977927.5860023,1075868259.5260534,1031673272.2153276
2025-02-20,1192795447.2823772,1362276814.5655615,1260865764.5665596,1083273684.2393646,1062424388.9045182,1030636846.0618031
2025-02-21,1181346328.1271055,1354958272.784296,1247357526.010455,1073579928.5837818,1052906401.9545366,1032908087.2377242
2025-02-24,1174908410.95639,1351078619.6119976,1250015917.2199235,1079287084.7587788,1058497659.7025418,1024800313.7450274
2025-02-25,1134388465.4668825,1294934005.3901331,1208594117.407895,1043621196.2557586,1023521169.887805,1000125586.9745402
2025-02-26,1147379216.844881,1305223072.187914,1198477695.3859594,1034254592.6252513,1014350739.5616399,1003024244.0687215
2025-02-27,1133708304.2050295,1277602602.6374404,1184966818.5434334,1022434116.6078442,1002765559.8135344,984693661.1939214
2025-02-28,1075236775.454878,1225421389.7754164,1151655863.6943054,982125844.3904567,963215126.4616232,952072555.7616547
2025-03-03,1118260031.203787,1275866239.9272628,1189509447.2867258,1019449268.3754528,999816188.1621497,989887802.0500184
2025-03-04,1106268063.8926105,1268678651.1888144,1182208427.9811819,1005094900.3120029,991285705.1388097,968744189.563678
