tanggal,Trading_Old,Trading_Optimal,Investing_Old,Investing_Optimal,Hybrid_Old,Hybrid_Optimal,IHSG
2022-11-24,1167741412.3981392,1520105334.805058,1319493171.5310483,1320949162.3690283,1260136332.2825985,1221329586.7975483,1075043406.8321095
2022-11-25,1169138139.4116058,1517408765.1973968,1316487486.5196269,1314002988.772493,1257261744.6434312,1211912225.7400196,1070888509.3107841
2022-11-28,1173087478.6255362,1504438985.1497846,1308499465.463462,1302807126.8595655,1249613213.2440884,1183672977.726829,1065454166.6852008
2022-11-29,1175738627.1171904,1517123201.5626502,1286436642.3525207,1318264538.8158607,1228544038.6893396,1189573649.0456407,1064651121.7570908
2022-11-30,1206810264.522598,1555147953.6724598,1305364546.1872132,1346943751.5370247,1246615484.0926063,1200891542.7949731,1075164545.6257331
2022-12-01,1193153525.778415,1533043668.986668,1276067846.3781939,1350400368.455221,1218618745.5200434,1185849145.125212,1065977272.7609712
2022-12-02,1179449634.9819047,1532306249.844921,1258274296.732703,1324714694.8286574,1190436341.6178327,1158041937.6324573,1065800531.7058923
2022-12-05,1168276173.5970173,1524417783.8336368,1235666011.9891434,1313910727.022083,1164451765.9421802,1144279173.3970625,1060894707.1095277
2022-12-06,1152698790.6323068,1508855589.9322,1206634213.0753958,1294050066.2702076,1138788893.1403143,1122203387.3635209,1046507436.6171288
2022-12-07,1132530330.8666303,1496168889.036142,1175867913.1919696,1272779064.3616555,1115818198.6041381,1094195318.5869262,1035299577.5710857
2022-12-08,1119759472.4849677,1493482666.9731166,1160168786.1328766,1266674127.579512,1090937165.4352913,1082709441.2599645,1033094243.6090761
2022-12-09,1106664819.4207656,1465245273.738248,1148592698.0078595,1261179160.9176202,1061143959.4948422,1073079372.4986546,1019564730.6700592
2022-12-12,1115779439.429531,1486325407.5811434,1144212648.7941248,1284283336.4302835,1060589316.6785831,1080926538.8267584,1022500233.5294982
2022-12-13,1117791207.9793477,1471406953.8334699,1179265501.1574106,1297654655.5968828,1089754554.486721,1110738652.5393841,1034018723.8762043
2022-12-14,1114231274.754654,1467777043.2291286,1162910558.2432642,1293463656.807002,1074006256.1733675,1096680715.208622,1032718001.6398962
2022-12-15,1101233964.3896327,1444646677.9399,1161468977.3656187,1278294924.260894,1071133986.5684859,1090915589.9380908,1025143268.493683
2022-12-16,1115411342.4007883,1472653378.4226894,1179013590.1507246,1284348320.6766436,1081941089.0347888,1103790276.9923368,1034303704.0002491
2022-12-19,1105039288.4382346,1462383603.0498302,1152577347.27591,1276038835.9694269,1064855705.0818658,1083355185.5943465,1029370004.1368084
2022-12-20,1085653573.9499528,1441249604.7088795,1144124555.6666403,1262921248.2951808,1056331393.3265997,1066864788.9916005,1027641811.7144328
2022-12-21,1096398645.5738695,1445809269.4550076,1148514206.475799,1265359154.6812415,1062393362.0015459,1073092831.8374438,1035589747.2395332
2022-12-22,1098662099.332638,1455301297.726859,1154082980.5519373,1280950592.5618734,1062240134.8748065,1083961750.7100759,1036162005.7144299
2022-12-23,1084503433.7909684,1441301908.2920885,1138563981.06492,1267982512.8441274,1049566320.222434,1071353797.8289378,1032554605.1275665
2022-12-26,1069884463.8683243,1441241004.2390184,1128504795.9021924,1264909418.3207376,1047613118.7317188,1063028936.8724912,1037889234.3642735
2022-12-27,1097103513.6747699,1430612426.3927577,1149331550.0717063,1261894622.4507496,1071742166.3067439,1075909695.0470622,1051131765.4978331
2022-12-28,1092935973.991943,1421022944.624415,1144500165.2378044,1247748783.1894898,1060709275.8908349,1066906186.9539374,1040122962.5477995
