tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2023-08-21,1492271761.4928372,1529476417.0750146,1652661758.3365638,1545608695.7588315,1042478348.4793894
2023-08-22,1529056826.8406887,1563294768.8527224,1689206896.7516549,1583516519.6943371,1050133223.0184467
2023-08-23,1531393401.88054,1570968602.3632412,1697498796.9724553,1590324920.256733,1050886300.0475956
2023-08-24,1513547405.9229524,1544064490.2644937,1668427759.4692233,1568641523.3054793,1047543269.6798645
2023-08-25,1498648966.8959262,1533917978.5990608,1657464035.0598307,1559875062.8596346,1046943654.8923318
2023-08-28,1512044657.2732766,1539884603.1755908,1663911215.472291,1569942297.375955,1050934414.5378416
2023-08-29,1508902003.7975354,1540966073.62329,1665079795.0786881,1572602807.6298454,1056416723.3809735
2023-08-30,1496102642.1175559,1524943184.270338,1647766377.322625,1571033456.687154,1057755996.5185572
2023-08-31,1491949822.855253,1517289973.7700958,1639496755.8082747,1568623909.8198402,1055722065.7945268
2023-09-01,1492306283.2417622,1516732892.1154072,1638894805.2335572,1576155815.3968024,1059425843.6345791
2023-09-04,1503987841.2572508,1527371638.0709498,1650390425.5816152,1587090219.4726574,1062325242.0922464
2023-09-05,1505964780.2822907,1541825912.4893503,1666008887.7147057,1590252378.5133078,1061559710.1565316
2023-09-06,1508563926.7139301,1542939904.7673852,1667212604.049359,1599461354.092959,1062204251.57132
2023-09-07,1484718254.2187033,1532916641.492666,1656382039.0910506,1599240624.5962505,1055957152.1559592
2023-09-08,1481842432.0770698,1523011081.300652,1645678657.3512304,1598516854.2645807,1051397914.9893318
2023-09-11,1478873560.9746895,1528087130.547257,1651163545.8142111,1593210937.555709,1057260617.4371659
2023-09-12,1476147069.4180734,1520678272.7123237,1643157957.828663,1594580978.1457064,1052793161.0701138
2023-09-13,1474944400.079868,1515865185.2633839,1637957210.8426847,1592767290.7168238,1053021945.8419147
2023-09-14,1467340633.8445005,1513857077.2562454,1635787364.1950943,1583776478.874432,1056644173.6984994
2023-09-15,1472170475.550632,1533469013.574682,1656978900.7668567,1600129849.6365967,1060205832.1582723
2023-09-18,1458603142.281489,1523450554.6840081,1646153527.1511552,1585951056.4140294,1053114097.3232331
2023-09-19,1478810082.734828,1538622198.319088,1662547137.436556,1609603534.8435192,1059830776.37067
2023-09-20,1496856362.4793358,1547359664.3614159,1671988343.4538565,1622350714.9328918,1064592257.496297
2023-09-21,1488921789.6159878,1534901091.3358817,1658526322.0799446,1611498275.0294893,1061522938.5276226
2023-09-22,1493137402.9233716,1546430715.178442,1670984574.1031573,1613996397.1059167,1065376175.2464664
2023-09-25,1482244624.851144,1555027052.4899101,1680273284.4865339,1611002310.4613526,1062572857.4965935
2023-09-26,1455254595.0293963,1540716625.299466,1666600520.0227683,1580982374.3479867,1051249123.3376778
2023-09-27,1466725542.2746928,1546929020.823845,1670116667.2655416,1600404871.387179,1053379060.6331542
2023-09-29,1471393235.8753724,1560231454.3495982,1682463801.9289086,1602319506.1644974,1053692434.9787155
2023-10-02,1461128317.3481693,1552946636.077932,1676622845.3601575,1595994882.1491947,1056966963.3603339
2023-10-03,1433025467.3371844,1533041653.2088094,1664150107.5500746,1563599567.2192335,1053843524.8571764
