tanggal,Trading_Port,Investing_Port,Hybrid_Port,IHSG
2022-07-28,1069660644.7165482,1319165381.8344069,1274819466.1447468,1056262149.094128
2022-07-29,1073194265.488327,1324446396.0437813,1295248832.3688338,1055397645.1330229
2022-08-01,1080537917.4683342,1335346745.1698613,1310611692.6679113,1058079008.5894375
2022-08-02,1089024369.1740851,1343872962.066348,1309188688.9298372,1061020590.6294621
2022-08-03,1102139996.7648473,1360055991.1790705,1324943391.8962247,1069899308.0113221
2022-08-04,1104439240.8421054,1362893582.9261613,1327708281.5531225,1071525933.6361063
2022-08-05,1119959027.5288062,1382047738.1883512,1346371899.796378,1075671934.7955987
2022-08-08,1115646163.3782403,1376729911.2448468,1341209082.1841605,1076005103.5462382
2022-08-09,1111968251.1999671,1380406171.209303,1344794488.1738963,1078439074.0073514
2022-08-10,1115311211.9505324,1388956669.8474512,1353125593.0037498,1075911988.292388
2022-08-11,1125687439.3085275,1409220438.5330298,1372848438.976718,1087170111.7827866
2022-08-12,1120830023.496636,1405895085.5881457,1369613640.9730089,1082446959.1493893
2022-08-15,1129453303.6419368,1405711758.8622088,1369432539.0790536,1076980886.1666024
2022-08-16,1149381181.6032915,1439193038.5435147,1402014900.1081996,1083081047.339024
2022-08-18,1160684520.713218,1452763293.8181095,1415223945.4703321,1091144042.4771624
2022-08-19,1151105873.71368,1440600764.9419181,1403372747.1743112,1088999574.457359
2022-08-22,1137248524.2871037,1424136599.2252703,1387349305.4008515,1079213872.9866421
2022-08-23,1148355492.3317058,1431521717.3654828,1394536559.3264296,1087607442.1032186
2022-08-24,1157793482.359085,1440640324.6770382,1403418627.0690296,1092381155.7263658
2022-08-25,1160096285.4225757,1438852532.9345179,1401679695.780539,1089268911.811848
2022-08-26,1145288393.3634624,1411966836.8583796,1375494625.353745,1083353572.556503
2022-08-29,1143108399.6305256,1412065145.7145371,1375587913.43581,1082867238.1096418
2022-08-30,1165988897.4647906,1427149954.0016901,1390281151.347734,1087031699.2199373
2022-08-31,1155969239.750215,1415308874.3600092,1378773590.4444606,1089934211.4042463
2022-09-01,1141397493.2959607,1397648942.836845,1361582684.5058136,1086064664.688709
2022-09-02,1144365428.4200234,1400379530.619919,1364230825.341617,1089720031.493121
2022-09-05,1145770889.0444977,1401916188.3141692,1365727822.2332664,1098025749.0365982
2022-09-06,1142524569.1117861,1398401265.6690505,1362303628.82361,1098218874.2247193
