tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2023-09-07,1446484825.5659258,1446484825.5659258,1152775893.6995585,1152775893.6995585,1656382039.0910506,1656382039.0910506,1055957152.1559592
2023-09-08,1451342695.602306,1451342695.602306,1149351072.2086062,1149351072.2086062,1645678657.3512304,1645678657.3512304,1051397914.9893318
2023-09-11,1432539679.2785027,1432539679.2785027,1143605840.9916422,1143605840.9916422,1651163545.8142111,1651163545.8142111,1057260617.4371659
2023-09-12,1428895343.8577883,1428895343.8577883,1145502648.7987444,1145502648.7987444,1643157957.828663,1643157957.828663,1052793161.0701138
2023-09-13,1430147780.4655719,1430147780.4655719,1146879940.0817318,1146879940.0817318,1637957210.8426847,1637957210.8426847,1053021945.8419147
2023-09-14,1443793072.399408,1443793072.399408,1149434931.2133002,1149434931.2133002,1635787364.1950943,1635787364.1950943,1056644173.6984994
2023-09-15,1447167673.9242003,1447167673.9242003,1151944095.4782176,1151944095.4782176,1656978900.7668567,1656978900.7668567,1060205832.1582723
2023-09-18,1441458081.19835,1441458081.19835,1146325538.0402365,1146325538.0402365,1646153527.1511552,1646153527.1511552,1053114097.3232331
2023-09-19,1461106084.9821334,1461106084.9821334,1158490614.461262,1158490614.461262,1662547137.436556,1662547137.436556,1059830776.37067
2023-09-20,1469689864.2606425,1469689864.2606425,1164273904.4359128,1164273904.4359128,1671988343.4538565,1671988343.4538565,1064592257.496297
2023-09-21,1453867342.1194062,1453867342.1194062,1155414391.0222383,1155414391.0222383,1658526322.0799446,1658526322.0799446,1061522938.5276226
2023-09-22,1458112851.4594183,1458112851.4594183,1160337360.4234304,1160337360.4234304,1670984574.1031573,1670984574.1031573,1065376175.2464664
2023-09-25,1458220531.951338,1458220531.951338,1157449459.746172,1157449459.746172,1680273284.4865339,1680273284.4865339,1062572857.4965935
2023-09-26,1424017427.461335,1424017427.461335,1134673700.3346593,1134673700.3346593,1666600520.0227683,1666600520.0227683,1051249123.3376778
2023-09-27,1440936568.9724085,1440936568.9724085,1145750149.7523935,1145750149.7523935,1670116667.2655416,1670116667.2655416,1053379060.6331542
2023-09-29,1442726824.6754181,1442726824.6754181,1145966683.1557992,1145966683.1557992,1682463801.9289086,1682463801.9289086,1053692434.9787155
2023-10-02,1438297223.0132391,1438297223.0132391,1140005575.4059796,1140005575.4059796,1676622845.3601575,1676622845.3601575,1056966963.3603339
2023-10-03,1408308238.6596916,1408308238.6596916,1118819325.5050766,1118819325.5050766,1664150107.5500746,1664150107.5500746,1053843524.8571764
2023-10-04,1392409084.4064975,1392409084.4064975,1104573772.0970201,1104573772.0970201,1643259013.5833335,1643259013.5833335,1045597412.9379791
2023-10-05,1377578939.5758142,1377578939.5758142,1096954458.4383457,1096954458.4383457,1632621377.2370067,1632621377.2370067,1043813395.8451025
2023-10-06,1381725348.1589463,1381725348.1589463,1085271952.4247708,1085271952.4247708,1622469265.9891782,1622469265.9891782,1045892253.1963887
2023-10-09,1399510783.9113765,1399510783.9113765,1104530666.3101892,1104530666.3101892,1635155432.015614,1635155432.015614,1046338183.3332593
2023-10-10,1406744154.6464338,1406744154.6464338,1119189619.2926667,1119189619.2926667,1650113397.9904747,1650113397.9904747,1051004399.2509264
2023-10-11,1407133070.517154,1407133070.517154,1117946878.8012905,1117946878.8012905,1647862320.1077104,1647862320.1077104,1052456656.1837871
2023-10-12,1393813192.9827387,1393813192.9827387,1105130419.9616249,1105130419.9616249,1636415590.7845922,1636415590.7845922,1052972571.0337425
2023-10-13,1397068351.0894413,1397068351.0894413,1103690268.7364328,1103690268.7364328,1640651359.422903,1640651359.422903,1051701577.4732257
2023-10-16,1401961637.4488552,1401961637.4488552,1111439619.7148304,1111439619.7148304,1645770924.792874,1645770924.792874,1047072578.0025593
2023-10-17,1399983326.4692826,1399983326.4692826,1109098144.4595137,1109098144.4595137,1655592686.3669431,1655592686.3669431,1053650399.6690555
2023-10-18,1397980401.2142725,1397980401.2142725,1109995255.0640712,1109995255.0640712,1648630338.450191,1648630338.450191,1051872535.8931133
2023-10-19,1379304164.0926752,1379304164.0926752,1098897472.4142017,1098897472.4142017,1633100539.9427118,1633100539.9427118,1039501477.5374278
2023-10-20,1378274229.2763789,1378274229.2763789,1098232226.2951458,1098232226.2951458,1627577949.5788338,1627577949.5788338,1039917678.998507
